Unnamed: 0.1,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,bowler,Type,dreamll_score
0,BB McCullum,158,77,10.0,13.0,1,1,0,0,0,222.0
1,DJ Hussey,12,12,1.0,0.0,0,0,0,AA Noffke,caught,17.0
2,Mohammad Hafeez,5,3,1.0,0.0,0,0,0,0,0,10.0
3,RT Ponting,20,20,1.0,1.0,0,0,0,JH Kallis,caught,27.0
4,SC Ganguly,10,12,2.0,0.0,0,0,0,Z Khan,caught,16.0
5,AA Noffke,9,12,1.0,0.0,0,0,0,SC Ganguly,run out,14.0
6,B Akhil,0,2,0.0,0.0,0,0,1,AB Agarkar,caught,2.0
7,CL White,6,10,0.0,0.0,0,0,0,AB Agarkar,caught,10.0
8,JH Kallis,8,7,0.0,1.0,0,0,0,AB Agarkar,caught,14.0
9,MV Boucher,7,11,1.0,0.0,0,0,0,SC Ganguly,caught,12.0
10,P Kumar,18,17,1.0,2.0,0,0,0,0,0,27.0
11,R Dravid,2,3,0.0,0.0,0,0,0,I Sharma,bowled,6.0
12,SB Joshi,3,8,0.0,0.0,0,0,0,LR Shukla,caught,7.0
13,V Kohli,1,5,0.0,0.0,0,0,0,AB Dinda,bowled,5.0
14,W Jaffer,6,18,0.0,0.0,0,0,0,AB Dinda,caught,10.0
15,Z Khan,3,8,0.0,0.0,0,0,0,SC Ganguly,bowled,7.0
0,JDP Oram,13,11,0.0,1.0,0,0,0,IK Pathan,bowled,19.0
1,MEK Hussey,116,54,8.0,9.0,1,1,0,0,0,170.0
2,ML Hayden,25,17,4.0,1.0,0,0,0,IK Pathan,bowled,35.0
3,MS Dhoni,2,3,0.0,0.0,0,0,0,JR Hopes,lbw,6.0
4,PA Patel,15,11,3.0,0.0,0,0,0,B Lee,caught,22.0
5,S Badrinath,31,14,3.0,2.0,0,0,0,0,0,42.0
6,SK Raina,32,14,2.0,3.0,0,0,0,WA Mota,caught,44.0
7,IK Pathan,3,5,0.0,0.0,0,0,0,0,0,7.0
8,JR Hopes,71,34,10.0,3.0,1,0,0,P Amarnath,caught,99.0
9,K Goel,24,20,2.0,1.0,0,0,0,MS Gony,caught,32.0
10,KC Sangakkara,54,35,5.0,2.0,1,0,0,M Muralitharan,caught,75.0
11,SM Katich,21,17,0.0,1.0,0,0,0,0,0,27.0
12,Yuvraj Singh,23,13,1.0,2.0,0,0,0,Joginder Sharma,caught,32.0
0,G Gambhir,58,49,7.0,1.0,1,0,0,0,0,79.0
1,S Dhawan,52,44,8.0,0.0,1,0,0,0,0,72.0
2,V Sehwag,12,4,3.0,0.0,0,0,0,SR Watson,bowled,19.0
3,D Salunkhe,26,20,4.0,0.0,0,0,0,0,0,34.0
4,DS Lehmann,1,2,0.0,0.0,0,0,0,MF Maharoof,lbw,5.0
5,M Kaif,9,19,0.0,0.0,0,0,0,R Bhatia,caught,13.0
6,M Rawat,2,4,0.0,0.0,0,0,0,R Bhatia,bowled,6.0
7,RA Jadeja,29,24,2.0,2.0,0,0,0,DL Vettori,bowled,39.0
8,SK Trivedi,3,7,0.0,0.0,0,0,0,0,0,7.0
9,SK Warne,14,13,2.0,0.0,0,0,0,MF Maharoof,bowled,20.0
10,SR Watson,21,15,4.0,0.0,0,0,0,R Bhatia,run out,29.0
11,T Kohli,7,13,0.0,1.0,0,0,0,GD McGrath,caught,13.0
12,YK Pathan,10,5,2.0,0.0,0,0,0,B Geeves,run out,16.0
